YEAR,MO,DY,HR,WS50M,Location,Latitude ,Longitude 
2013,1,13,21,8.35,Marsabit ,2.3286,37.9837
2013,1,13,22,8.46,Marsabit ,2.3286,37.9837
2013,1,13,23,8.46,Marsabit ,2.3286,37.9837
2013,1,14,0,8.24,Marsabit ,2.3286,37.9837
2013,1,14,1,7.9,Marsabit ,2.3286,37.9837
2013,1,14,2,7.65,Marsabit ,2.3286,37.9837
2013,1,14,3,7.52,Marsabit ,2.3286,37.9837
2013,1,14,4,7.53,Marsabit ,2.3286,37.9837
2013,1,14,5,7.78,Marsabit ,2.3286,37.9837
2013,1,14,6,8.24,Marsabit ,2.3286,37.9837
2013,1,14,7,7.81,Marsabit ,2.3286,37.9837
2013,1,14,8,8.69,Marsabit ,2.3286,37.9837
2013,1,14,9,8.77,Marsabit ,2.3286,37.9837
2013,1,14,10,8.61,Marsabit ,2.3286,37.9837
2013,1,14,11,8.53,Marsabit ,2.3286,37.9837
2013,1,14,12,8.4,Marsabit ,2.3286,37.9837
2013,1,14,13,8.29,Marsabit ,2.3286,37.9837
2013,1,14,14,8.43,Marsabit ,2.3286,37.9837
2013,1,14,15,8.71,Marsabit ,2.3286,37.9837
2013,1,14,16,8.97,Marsabit ,2.3286,37.9837
2013,1,14,17,9.01,Marsabit ,2.3286,37.9837
2013,1,14,18,8.71,Marsabit ,2.3286,37.9837
2013,1,14,19,8.73,Marsabit ,2.3286,37.9837
2013,1,14,20,8.65,Marsabit ,2.3286,37.9837
2013,1,14,21,8.35,Marsabit ,2.3286,37.9837
2013,1,14,22,7.67,Marsabit ,2.3286,37.9837
2013,1,14,23,7.06,Marsabit ,2.3286,37.9837
2013,1,15,0,6.41,Marsabit ,2.3286,37.9837
2013,1,15,1,5.96,Marsabit ,2.3286,37.9837
2013,1,15,2,5.81,Marsabit ,2.3286,37.9837
2013,1,15,3,6.1,Marsabit ,2.3286,37.9837
2013,1,15,4,6.17,Marsabit ,2.3286,37.9837
2013,1,15,5,6.19,Marsabit ,2.3286,37.9837
